iter	Passed	Remaining
327	9968	81203
328	10002	81207
329	10035	81199
330	10083	81306
331	10119	81320
332	10155	81334
333	10189	81329
334	10206	81195
335	10238	81175
336	10272	81174
337	10307	81179
338	10340	81169
339	10374	81168
340	10409	81167
341	10444	81170
342	10477	81161
343	10521	81236
344	10563	81290
345	10605	81346
346	10638	81336
347	10656	81211
348	10689	81198
349	10722	81184
350	10755	81173
351	10790	81175
352	10800	80987
353	10833	80976
354	10869	80988
355	10903	80981
356	10938	80980
357	10971	80971
358	11005	80964
359	11038	80951
360	11072	80943
361	11126	81084
362	11174	81175
363	11217	81234
364	11261	81298
365	11301	81331
366	11341	81370
367	11376	81366
368	11411	81362
369	11451	81398
370	11493	81443
371	11536	81496
372	11576	81530
373	11618	81576
374	11658	81609
375	11693	81603
376	11726	81587
377	11759	81571
378	11793	81561
379	11831	81577
380	11873	81616
381	11911	81634
382	11952	81672
383	11993	81708
384	12033	81736
385	12068	81726
386	12101	81710
387	12150	81799
388	12185	81790
389	12218	81769
390	12251	81752
391	12286	81742
392	12320	81730
393	12355	81718
394	12389	81704
395	12422	81688
396	12457	81682
397	12492	81673
398	12524	81644
399	12561	81649
400	12607	81711
401	12647	81738
