iter	Passed	Remaining
1258	60201	178882
1259	60245	178824
1260	60294	178779
1261	60341	178728
1262	60389	178683
1263	60436	178633
1264	60485	178587
1265	60527	178523
1266	60571	178464
1267	60624	178431
1268	60679	178405
1269	60728	178359
1270	60779	178321
1271	60862	178377
1272	60920	178359
1273	60974	178330
1274	61017	178266
1275	61065	178219
1276	61109	178159
1277	61151	178094
1278	61197	178042
1279	61244	177992
1280	61284	177922
1281	61334	177878
1282	61382	177830
1283	61434	177797
1284	61483	177751
1285	61527	177692
1286	61574	177642
1287	61617	177581
1288	61667	177538
1289	61712	177483
1290	61758	177429
1291	61802	177371
1292	61846	177311
1293	61893	177263
1294	61987	177345
1295	62033	177292
1296	62079	177240
1297	62123	177182
1298	62172	177136
1299	62215	177073
1300	62261	177021
1301	62306	176965
1302	62350	176906
1303	62398	176859
1304	62449	176819
1305	62499	176779
1306	62544	176723
1307	62595	176684
1308	62645	176640
1309	62686	176575
1310	62731	176520
1311	62778	176468
1312	62817	176396
1313	62869	176360
1314	62914	176303
1315	62956	176240
1316	63042	176299
1317	63087	176242
1318	63133	176190
1319	63177	176130
1320	63229	176095
1321	63277	176046
1322	63329	176012
1323	63382	175978
1324	63432	175935
1325	63481	175890
1326	63527	175837
1327	63579	175801
1328	63628	175756
1329	63681	175722
1330	63728	175673
1331	63777	175628
1332	63830	175594
1333	63876	175539
1334	63919	175480
1335	63970	175440
1336	64012	175375
1337	64057	175320
1338	64152	175401
1339	64201	175355
1340	64243	175291
1341	64287	175233
1342	64337	175192
1343	64379	175126
1344	64419	175058
1345	64462	174998
1346	64510	174950
1347	64559	174905
1348	64610	174865
1349	64661	174825
1350	64712	174785
1351	64758	174731
1352	64805	174683
1353	64852	174632
1354	64898	174579
1355	64943	174523
1356	64984	174457
1357	65032	174410
1358	65078	174357
1359	65123	174302
1360	65218	174378
1361	65266	174332
1362	65310	174271
1363	65357	174223
1364	65404	174172
1365	65444	174103
1366	65490	174050
1367	65533	173990
1368	65578	173935
1369	65627	173890
1370	65678	173848
1371	65734	173822
1372	65786	173784
1373	65831	173731
1374	65879	173682
1375	65922	173622
1376	65965	173560
1377	66013	173512
1378	66057	173454
1379	66100	173394
1380	66146	173342
1381	66192	173287
1382	66279	173343
1383	66327	173296
1384	66368	173229
1385	66413	173173
1386	66455	173109
1387	66502	173059
1388	66549	173009
1389	66594	172953
1390	66635	172888
1391	66677	172825
1392	66717	172755
1393	66766	172711
1394	66820	172680
1395	66870	172637
1396	66918	172590
1397	66963	172534
1398	67009	172480
1399	67050	172416
1400	67100	172373
1401	67146	172319
1402	67194	172271
1403	67239	172216
1404	67285	172164
1405	67374	172222
1406	67422	172175
1407	67464	172111
1408	67513	172065
1409	67558	172011
1410	67605	171959
1411	67646	171895
1412	67692	171842
1413	67732	171773
1414	67779	171723
1415	67831	171686
1416	67883	171649
1417	67931	171600
1418	67981	171557
1419	68025	171501
1420	68072	171449
1421	68115	171390
1422	68159	171332
1423	68199	171264
1424	68241	171202
1425	68288	171152
1426	68329	171087
1427	68393	171078
1428	68476	171119
1429	68522	171067
1430	68570	171017
1431	68613	170958
1432	68655	170896
1433	68705	170853
1434	68752	170804
1435	68792	170735
1436	68837	170681
1437	68882	170626
1438	68930	170577
1439	68980	170535
1440	69035	170504
1441	69079	170447
1442	69123	170389
1443	69169	170336
1444	69207	170265
1445	69256	170220
1446	69302	170166
1447	69344	170105
1448	69393	170058
1449	69440	170009
1450	69533	170070
1451	69581	170024
1452	69628	169974
1453	69672	169916
1454	69719	169867
1455	69767	169819
1456	69809	169756
1457	69855	169704
1458	69903	169656
1459	69947	169598
1460	70002	169567
1461	70060	169545
1462	70109	169498
1463	70152	169440
1464	70198	169387
1465	70244	169334
1466	70285	169268
1467	70336	169229
1468	70380	169172
1469	70427	169121
1470	70470	169062
1471	70516	169010
1472	70612	169078
1473	70661	169030
1474	70701	168965
1475	70748	168913
1476	70794	168861
1477	70839	168807
1478	70885	168755
1479	70936	168714
1480	70987	168673
1481	71039	168635
1482	71091	168597
1483	71147	168568
1484	71197	168524
1485	71248	168484
1486	71294	168431
1487	71349	168401
1488	71399	168356
1489	71449	168314
1490	71498	168268
1491	71546	168220
1492	71592	168167
1493	71688	168232
1494	71739	168192
1495	71786	168140
1496	71837	168100
1497	71889	168061
